% FILE: Exam4_matlab.1
%
%       t             Q1             Q2             U1             U2
%     (sec)          (rad)          (rad)         (rad/s)        (rad/s)

  1.140000E+01  -8.627307E-01   2.115383E+00  -1.199418E-03  -2.733735E-04 
  1.150000E+01  -8.628481E-01   2.115361E+00  -1.143238E-03  -1.756456E-04 
  1.160000E+01  -8.629582E-01   2.115348E+00  -1.053442E-03  -8.076273E-05 
  1.170000E+01  -8.630579E-01   2.115344E+00  -9.362624E-04   5.898004E-06 
  1.180000E+01  -8.631447E-01   2.115349E+00  -7.982102E-04   8.024872E-05 
  1.190000E+01  -8.632170E-01   2.115360E+00  -6.459723E-04   1.396768E-04 
  1.200000E+01  -8.632737E-01   2.115376E+00  -4.862640E-04   1.830502E-04 
  1.210000E+01  -8.633143E-01   2.115396E+00  -3.256306E-04   2.105700E-04 
  1.220000E+01  -8.633390E-01   2.115418E+00  -1.702183E-04   2.235134E-04 
  1.230000E+01  -8.633487E-01   2.115440E+00  -2.553736E-05   2.239145E-04 
  1.240000E+01  -8.633446E-01   2.115462E+00   1.037565E-04   2.142315E-04 
  1.250000E+01  -8.633285E-01   2.115483E+00   2.140380E-04   1.970408E-04 
  1.260000E+01  -8.633025E-01   2.115502E+00   3.028269E-04   1.747875E-04 
  1.270000E+01  -8.632687E-01   2.115518E+00   3.688311E-04   1.496091E-04 
  1.280000E+01  -8.632295E-01   2.115531E+00   4.119142E-04   1.232379E-04 
  1.290000E+01  -8.631871E-01   2.115542E+00   4.329956E-04   9.697383E-05 
  1.300000E+01  -8.631436E-01   2.115551E+00   4.338927E-04   7.171569E-05 
  1.310000E+01  -8.631009E-01   2.115557E+00   4.171248E-04   4.803063E-05 
  1.320000E+01  -8.630607E-01   2.115561E+00   3.856949E-04   2.624304E-05 
  1.330000E+01  -8.630241E-01   2.115562E+00   3.428710E-04   6.524542E-06 
  1.340000E+01  -8.629923E-01   2.115562E+00   2.919810E-04  -1.102852E-05 
  1.350000E+01  -8.629659E-01   2.115560E+00   2.362350E-04  -2.633935E-05 
  1.360000E+01  -8.629452E-01   2.115557E+00   1.785844E-04  -3.932017E-05 
  1.370000E+01  -8.629302E-01   2.115552E+00   1.216194E-04  -4.986582E-05 
  1.380000E+01  -8.629207E-01   2.115547E+00   6.750694E-05  -5.786680E-05 
  1.390000E+01  -8.629165E-01   2.115541E+00   1.796355E-05  -6.323463E-05 
  1.400000E+01  -8.629170E-01   2.115534E+00  -2.574146E-05  -6.593188E-05 
  1.410000E+01  -8.629214E-01   2.115528E+00  -6.276054E-05  -6.599963E-05 
  1.420000E+01  -8.629293E-01   2.115521E+00  -9.262716E-05  -6.357657E-05 
  1.430000E+01  -8.629397E-01   2.115515E+00  -1.152065E-04  -5.890642E-05 
  1.440000E+01  -8.629521E-01   2.115509E+00  -1.306428E-04  -5.233230E-05 
  1.450000E+01  -8.629656E-01   2.115505E+00  -1.393086E-04  -4.427908E-05 
  1.460000E+01  -8.629797E-01   2.115501E+00  -1.417557E-04  -3.522646E-05 
  1.470000E+01  -8.629938E-01   2.115498E+00  -1.386726E-04  -2.567639E-05 
  1.480000E+01  -8.630073E-01   2.115495E+00  -1.308451E-04  -1.611910E-05 
  1.490000E+01  -8.630198E-01   2.115494E+00  -1.191221E-04  -7.001644E-06 
  1.500000E+01  -8.630310E-01   2.115494E+00  -1.043841E-04   1.297908E-06 
  1.510000E+01  -8.630406E-01   2.115495E+00  -8.751490E-05   8.488335E-06 
